userid,newsid
11316,100650677
11390,100653515
11390,100640893
11489,100646483
11489,100647407
11533,100578663
11533,100602833
11610,100643267
11610,100643203
11642,100641301
11642,100641225
12452,100641856
12452,100641568
12497,100644102
12497,100643811
12545,100644566
12545,100642745
12551,100641447
12551,100641308
12988,100643352
12988,100643299
13232,100646178
13232,100646760
13742,100642813
13742,100642391
13930,100628508
13930,100654112
14323,100642745
14323,100642620
14362,100658670
14362,100654434
14705,100656709
14705,100649191
15080,100646778
15080,100646891
15253,100642106
15253,100642333
15295,100647627
15295,100647474
15388,100651397
15388,100654109
15473,100644937
15473,100645359
15926,100651397
15926,100646080
15972,100156612
15972,100596125
16528,100650094
16528,100645925
16686,100630950
16686,100625718
16915,100646337
16915,100646178
17038,100647745
17038,100647672
17515,100637136
17515,100634859
17570,100656709
17570,100658670
17710,100646080
17710,100645428
17893,100637136
17893,100640893
18116,100649191
18116,100649193
18159,100651880
18159,100651809
18195,100652086
18195,100652020
18377,100645359
18377,100645485
18519,100642391
18519,100642603
18568,100646483
18568,100646337
19172,100650633
19172,100655938
19381,100639414
19381,100639278
19442,100647745
19442,100640893
19693,100646153
19693,100656099
19717,100642609
19717,100642684
19740,100658670
19740,100658380
19848,100643352
19848,100643481
19889,100657974
19889,100658380
20236,100641862
20236,100642002
20510,100644102
20510,100645310
20566,100647745
20566,100647712
20671,100644190
20671,100644229
20810,100647597
20810,100647427
20864,100647226
20864,100647228
21046,100644706
21046,100645503
21160,100645503
21160,100644937
21178,100641991
21178,100642085
21465,100633200
21465,100645026
21639,100650488
21639,100650444
21854,100656709
21854,100658670
21873,100658670
21873,100658399
22055,100647226
22055,100647230
22562,100656714
22562,100656223
22862,100642391
22862,100642603
23315,100649202
23315,100647745
24093,100650869
24093,100649500
24736,100645485
24736,100644937
25041,100645258
25041,100644693
25063,100642085
25063,100641991
25122,100650992
25122,100651215
25143,100654599
25143,100655248
25316,100651008
25316,100651046
25480,100644566
25480,100644102
25610,100645546
25610,100646120
25624,100643811
25624,100643761
25784,100649191
25784,100650552
25856,100644566
25856,100647563
25878,100643267
25878,100643203
26040,100652911
26040,100647563
26181,100641671
26181,100641447
26325,100655565
26325,100653785
26404,100651046
26404,100647659
26473,100651987
26473,100654990
26537,100644102
26537,100644706
27117,100646095
27117,100646120
27144,100649202
27144,100647825
27408,100645335
27408,100645448
27734,100651046
27734,100648820
28391,100652596
28391,100655692
28569,100646080
28569,100651987
29013,100647659
29013,100654990
29064,100647712
29064,100647672
29407,100641991
29407,100641379
29665,100643267
29665,100643203
29894,100647712
29894,100644052
30090,100647745
30090,100647712
30738,100567408
30738,100640587
30782,100647336
30782,100646947
31079,100642301
31079,100586036
31429,100655380
31429,100651913
32283,100647190
32283,100646751
32322,100647232
32322,100647237
32446,100649635
32446,100658028
32495,100647672
32495,100637136
32692,100652596
32692,100658705
32902,100652121
32902,100650596
32936,100642745
32936,100642620
32998,100639882
32998,100639812
33570,100644977
33570,100645828
33755,100658670
33755,100656714
33766,100658670
33766,100648724
34371,100643811
34371,100642505
34567,100645933
34567,100645359
34587,100644750
34587,100645962
34624,100641862
34624,100642002
34820,100648778
34820,100648968
35004,100657489
35004,100651182
35056,100653327
35056,100653275
36615,100651987
36615,100654990
36834,100650488
36834,100650444
37065,100637136
37065,100649503
37600,100658670
37600,100654109
38063,100643811
38063,100643761
39171,100654109
39171,100658380
39327,100642618
39327,100642609
39718,100653275
39718,100653351
39723,100644566
39723,100645428
39777,100650718
39777,100658797
39786,100623376
39786,100578166
40338,100647427
40338,100646782
40504,100651337
40504,100651913
40557,100651215
40557,100651048
40750,100642106
40750,100642333
41205,100641379
41205,100641301
41268,100637151
41268,100644067
42190,100650617
42190,100650488
43287,100647745
43287,100647672
43321,100649503
43321,100646058
43863,100644672
43863,100644911
43901,100644102
43901,100645485
44221,100656637
44221,100656616
44250,100658670
44250,100654109
44638,100653275
44638,100653104
44671,100650633
44671,100655565
44748,100658670
44748,100648013
44860,100642106
44860,100641308
45227,100644102
45227,100645485
45280,100641991
45280,100642085
45549,100647230
45549,100658670
45765,100658670
45765,100652121
46075,100650261
46075,100650444
46160,100654022
46160,100656150
47750,100658705
47750,100658670
47830,100658670
47830,100656709
47846,100651212
47846,100649202
49360,100641862
49360,100642106
49721,100652075
49721,100645962
49872,100643481
49872,100643352
49900,100646120
49900,100646058
50864,100647226
50864,100647230
50959,100646147
50959,100654109
51014,100651344
51014,100648768
51169,100645359
51169,100644937
52327,100646080
52327,100646147
52927,100651215
52927,100651247
53408,100641225
53408,100639797
53788,100446295
53788,100658012
54287,100658670
54287,100651046
54490,100642630
54490,100639316
54793,100649314
54793,100649179
55257,100652826
55257,100653323
55634,100646080
55634,100647407
55872,100646080
55872,100654109
55914,100658670
55914,100648013
56159,100650488
56159,100650444
56576,100658670
56576,100649540
56826,100644937
56826,100644706
56831,100643277
56831,100637136
56934,100644706
56934,100645359
57189,100652418
57189,100658519
57360,100658670
57360,100651397
57419,100644693
57419,100645962
57729,100646879
57729,100650552
57754,100653275
57754,100654109
58878,100646147
58878,100645483
58883,100655960
58883,100656037
58950,100658380
58950,100655181
58987,100651046
58987,100649540
59108,100642301
59108,100651130
59795,100658670
59795,100651046
59873,100637136
59873,100634859
60280,100648013
60280,100649540
60379,100653323
60379,100648279
60574,100644693
60574,100644733
60931,100642311
60931,100642302
61617,100646080
61617,100654109
61681,100654455
61681,100646790
61897,100642311
61897,100642309
62019,100655170
62019,100650992
62396,100642302
62396,100642618
62488,100646891
62488,100648717
62539,100647384
62539,100647068
63014,100647672
63014,100633200
63311,100658705
63311,100658797
63431,100658670
63431,100649540
63512,100658670
63512,100658797
63575,100644102
63575,100644588
64659,100658797
64659,100648886
65300,100652086
65300,100652020
65714,100658012
65714,100654109
65862,100494332
65862,100491287
66069,100656714
66069,100658797
66638,100642630
66638,100642596
66971,100650507
66971,100658705
67026,100643915
67026,100644706
67144,100637136
67144,100634859
67728,100645322
67728,100655510
67803,100644706
67803,100644937
67870,100649853
67870,100649924
67939,100645186
67939,100651676
68177,100647672
68177,100653515
68622,100654151
68622,100646080
69056,100647885
69056,100647915
69104,100658670
69104,100652121
69827,100647243
69827,100647190
69947,100654151
69947,100645903
70135,100657146
70135,100656815
70964,100650261
70964,100650156
71832,100652200
71832,100651046
71852,100655565
71852,100651276
72122,100658670
72122,100647659
72565,100644937
72565,100645359
73034,100637136
73034,100640893
73430,100647659
73430,100655375
74100,100645303
74100,100645026
74608,100658670
74608,100651913
75510,100644693
75510,100644736
75722,100647745
75722,100642745
75943,100658349
75943,100658372
76334,100647336
76334,100645864
76337,100652075
76337,100651905
76693,100654509
76693,100647960
76726,100647228
76726,100647230
77159,100651913
77159,100658380
77786,100651046
77786,100655380
77896,100658670
77896,100658797
77928,100637136
77928,100634859
79185,100656501
79185,100656421
79511,100655252
79511,100655181
79842,100637136
79842,100642716
80076,100653275
80076,100653351
80516,100651182
80516,100653351
80578,100646080
80578,100651130
80606,100647230
80606,100647235
80834,100589409
80834,100509373
81526,100646080
81526,100650633
81906,100646080
81906,100649503
82503,100643915
82503,100643811
82812,100658797
82812,100651987
82856,100646337
82856,100646178
83021,100647226
83021,100647230
83080,100652121
83080,100653986
83557,100650266
83557,100648820
83784,100650156
83784,100649924
83926,100658670
83926,100655565
83951,100656714
83951,100647659
84368,100658670
84368,100656709
84539,100646879
84539,100652312
84711,100637151
84711,100647745
84986,100658670
84986,100658797
85648,100645448
85648,100646058
85727,100657176
85727,100657146
85780,100649503
85780,100649260
85831,100651265
85831,100651247
86214,100645546
86214,100645864
86251,100637136
86251,100634859
86569,100658822
86569,100652596
86842,100647230
86842,100647232
87352,100646147
87352,100646463
87809,100658670
87809,100648013
87920,100649924
87920,100649853
88181,100647230
88181,100647232
88199,100642618
88199,100642684
88741,100651046
88741,100646058
88807,100646778
88807,100646760
88854,100656815
88854,100656616
89011,100645335
89011,100645483
89044,100652919
89044,100637136
89536,100650156
89536,100649924
89905,100658670
89905,100656714
90015,100646080
90015,100649202
90097,100645258
90097,100644693
91185,100646120
91185,100658670
91209,100650633
91209,100645962
91325,100647226
91325,100647230
91334,100654109
91334,100651212
91485,100658670
91485,100656714
91752,100655181
91752,100655113
91852,100644566
91852,100646722
91923,100658670
91923,100654109
92972,100644566
92972,100645485
93107,100651410
93107,100649569
93402,100647745
93402,100653515
93748,100658670
93748,100651046
93789,100648830
93789,100653327
94345,100647226
94345,100647228
94441,100647226
94441,100647232
94606,100646778
94606,100646891
94811,100568506
94811,100646147
95001,100653351
95001,100646120
95611,100646080
95611,100646147
95718,100651397
95718,100655104
96007,100653327
96007,100650156
96316,100565849
96316,100599137
96339,100640893
96339,100652966
96377,100646947
96377,100647427
96474,100656207
96474,100656329
96670,100644937
96670,100645359
96977,100645169
96977,100645303
97319,100642684
97319,100642301
97552,100656737
97552,100656714
97587,100651344
97587,100653351
97707,100645962
97707,100645483
98034,100649503
98034,100646147
98598,100656591
98598,100651212
98757,100651913
98757,100658670
99407,100648048
99407,100655833
100014,100652966
100014,100640893
100047,100652817
100047,100652788
100126,100658797
100126,100654112
100255,100646080
100255,100657253
100429,100646947
100429,100647427
100564,100645359
100564,100644937
100573,100645428
100573,100641862
101092,100649191
101092,100652621
101288,100647230
101288,100647232
101378,100645864
101378,100645546
101492,100647237
101492,100647779
101745,100656551
101745,100656369
102726,100651247
102726,100651344
102755,100645310
102755,100645485
102962,100658670
102962,100656714
103005,100645933
103005,100644566
103054,100648634
103054,100648717
103073,100650094
103073,100654847
103144,100651779
103144,100654109
103285,100651308
103285,100654733
103374,100648886
103374,100651142
103588,100642309
103588,100642311
103914,100648593
103914,100648634
103964,100656714
103964,100654112
104163,100631057
104163,100632017
104220,100658173
104220,100658178
104270,100658670
104270,100652418
104374,100648557
104374,100651913
104514,100646080
104514,100655565
104710,100658670
104710,100655181
105113,100642618
105113,100642302
105220,100647230
105220,100647232
105472,100648634
105472,100648717
106300,100658012
106300,100656591
106306,100654151
106306,100656677
107017,100645962
107017,100646080
107290,100655559
107290,100655455
107455,100656223
107455,100655565
107500,100658670
107500,100651046
107579,100641484
107579,100640311
107912,100646947
107912,100653740
108419,100652046
108419,100651987
108703,100645962
108703,100651987
108827,100651913
108827,100658380
108929,100657146
108929,100656815
109013,100654599
109013,100658012
109122,100647228
109122,100647230
109475,100655700
109475,100652312
109624,100655216
109624,100655195
109770,100658399
109770,100658797
109808,100648886
109808,100651104
110251,100655565
110251,100645962
110307,100656551
110307,100656815
110690,100647587
110690,100648820
110724,100644102
110724,100642391
111051,100651987
111051,100658670
111477,100652621
111477,100649193
111570,100656150
111570,100656099
112458,100656714
112458,100655565
113784,100638652
113784,100318462
113867,100652788
113867,100652935
114319,100644648
114319,100538382
114592,100655738
114592,100656637
114633,100648564
114633,100651212
115244,100647597
115244,100647384
115366,100648634
115366,100648717
115570,100647745
115570,100653351
115836,100646147
115836,100646790
115842,100658670
115842,100651046
115976,100655565
115976,100656591
116164,100651987
116164,100654109
116885,100647885
116885,100647427
116985,100651344
116985,100650174
117048,100649260
117048,100650824
117521,100651987
117521,100658670
117532,100654151
117532,100648820
117586,100658012
117586,100651502
118081,100658670
118081,100658797
118133,100658670
118133,100646790
118721,100656677
118721,100646879
118905,100644937
118905,100644706
119135,100646080
119135,100653597
119201,100649202
119201,100645322
119559,100651048
119559,100650992
120054,100653327
120054,100653275
120735,100658670
120735,100651987
121189,100655380
121189,100655367
121521,100646821
121521,100646778
121532,100647087
121532,100651104
121801,100658670
121801,100654455
121829,100651265
121829,100651247
122051,100645546
122051,100645503
122746,100654109
122746,100655565
122894,100658380
122894,100654112
123354,100658705
123354,100647537
123504,100643210
123504,100655198
123562,100654112
123562,100658670
123728,100645962
123728,100646609
124254,100651182
124254,100637136
124320,100645483
124320,100646147
124758,100648279
124758,100658670
125101,100645962
125101,100645322
125243,100656709
125243,100649064
125247,100652621
125247,100651830
125421,100644229
125421,100643946
126081,100649202
126081,100651212
126191,100651212
126191,100649503
126491,100644977
126491,100644911
127056,100649705
127056,100651104
127372,100651104
127372,100648820
127697,100652586
127697,100651676
128066,100645359
128066,100645933
128166,100658670
128166,100656714
129325,100658705
129325,100646879
129393,100658670
129393,100646751
129802,100653785
129802,100645962
130240,100650368
130240,100650244
130882,100646147
130882,100649064
130973,100649048
130973,100649179
130989,100649503
130989,100651344
131032,100647712
131032,100652966
131458,100658178
131458,100658670
131538,100647597
131538,100647427
131762,100651344
131762,100651265
132554,100648225
132554,100651008
132564,100637151
132564,100637136
133502,100653323
133502,100654733
134210,100653327
134210,100653275
134250,100646751
134250,100647190
135254,100644566
135254,100646153
135741,100655565
135741,100658012
135949,100649191
135949,100652596
136156,100647235
136156,100647226
136344,100654455
136344,100651212
136738,100656714
136738,100658670
136839,100650488
136839,100650677
136969,100651344
136969,100651276
137107,100650696
137107,100650677
137189,100655860
137189,100658670
137434,100658012
137434,100653785
137865,100649503
137865,100651212
138101,100650156
138101,100649574
138189,100658265
138189,100658356
138554,100654109
138554,100651104
138777,100646080
138777,100645335
140029,100656591
140029,100651212
140058,100651809
140058,100653351
140759,100651337
140759,100652121
140981,100658012
140981,100651212
141104,100647002
141104,100649136
141901,100658797
141901,100655833
141984,100649260
141984,100655565
142638,100647228
142638,100653323
142973,100651182
142973,100653515
143009,100647737
143009,100646879
143373,100651795
143373,100651676
143776,100647226
143776,100647230
144198,100650824
144198,100649260
144291,100651397
144291,100651008
144381,100646080
144381,100655565
144558,100644693
144558,100645282
144986,100653327
144986,100656099
145031,100650720
145031,100650488
145671,100650992
145671,100650742
146286,100646080
146286,100654455
146345,100646080
146345,100645483
146570,100642609
146570,100642684
146714,100658670
146714,100658797
147067,100645322
147067,100646058
147353,100647745
147353,100647712
147656,100647587
147656,100647627
148054,100647230
148054,100647232
148581,100642618
148581,100642309
148628,100648628
148628,100655367
148674,100647745
148674,100633200
148987,100650633
148987,100658670
149239,100651215
149239,100651048
149667,100646080
149667,100658670
150323,100645962
150323,100651502
150604,100655565
150604,100650824
150795,100647243
150795,100647190
151309,100658670
151309,100656709
151505,100644102
151505,100643915
152018,100658670
152018,100651913
152128,100647232
152128,100647237
152593,100645310
152593,100644937
153408,100647931
153408,100647907
153554,100648402
153554,100656714
153647,100658670
153647,100658012
154252,100657974
154252,100646990
154405,100647745
154405,100644102
154554,100650261
154554,100650174
155219,100650992
155219,100651048
155739,100645169
155739,100646080
155848,100650992
155848,100650696
156455,100652121
156455,100650633
157025,100647226
157025,100647230
157029,100651046
157029,100648013
157328,100650151
157328,100649889
157343,100647659
157343,100658705
157647,100642630
157647,100654109
157719,100647228
157719,100647226
158119,100651104
158119,100648886
158180,100646058
158180,100645448
158862,100645962
158862,100651397
159560,100647243
159560,100647190
159628,100658670
159628,100656714
159788,100637151
159788,100645359
159897,100647712
159897,100651182
160665,100647087
160665,100648013
160850,100647407
160850,100654109
161086,100652621
161086,100650596
161492,100650094
161492,100658797
161712,100642630
161712,100645962
161766,100647228
161766,100647230
162107,100651976
162107,100651880
162989,100658380
162989,100651142
163114,100646120
163114,100644566
163323,100647226
163323,100647230
164216,100652086
164216,100652020
164499,100647416
164499,100646120
165122,100647228
165122,100647230
165988,100642603
165988,100642391
166205,100646080
166205,100651502
166635,100647597
166635,100647427
167506,100655565
167506,100649503
167593,100654112
167593,100654109
167760,100645933
167760,100645864
167802,100631789
167802,100648013
168182,100658705
168182,100658670
168362,100649202
168362,100655565
168724,100647232
168724,100647228
168812,100648634
168812,100655399
168907,100646337
168907,100646409
169052,100642302
169052,100642301
169068,100654109
169068,100653785
169335,100645962
169335,100651502
170790,100651212
170790,100654434
171060,100651987
171060,100652121
171176,100648078
171176,100648011
171624,100647226
171624,100647230
172446,100658670
172446,100648013
172485,100650094
172485,100650060
172874,100658670
172874,100655565
173097,100658012
173097,100646080
173115,100648593
173115,100648574
173129,100654112
173129,100648013
173341,100647230
173341,100647232
173575,100652596
173575,100658436
173733,100654434
173733,100651212
174403,100646483
174403,100645906
175091,100649540
175091,100648820
175768,100646080
175768,100655860
175783,100654109
175783,100652075
176307,100637136
176307,100651182
176327,100647243
176327,100651502
176579,100651913
176579,100658670
176954,100647243
176954,100649003
177283,100652624
177283,100652622
177519,100658797
177519,100656714
177561,100653853
177561,100653740
177580,100652121
177580,100652100
177927,100650094
177927,100649635
178045,100647237
178045,100647235
178476,100647659
178476,100645527
179530,100651337
179530,100650094
179749,100649260
179749,100655565
179902,100651913
179902,100651987
180105,100645817
180105,100647659
180182,100648915
180182,100648830
180197,100649461
180197,100652621
180350,100644977
180350,100650174
180373,100642309
180373,100642630
180411,100647226
180411,100651913
181118,100644566
181118,100648013
181224,100658673
181224,100653372
182067,100646778
182067,100651265
182237,100645366
182237,100645532
182352,100642618
182352,100642309
182519,100657176
182519,100657146
182676,100658670
182676,100648013
183441,100658670
183441,100655380
183502,100645335
183502,100644977
183658,100647228
183658,100658670
183923,100648557
183923,100658380
183974,100645903
183974,100648013
184825,100651212
184825,100642630
185346,100652911
185346,100652586
186102,100647226
186102,100647237
187314,100653323
187314,100658670
187770,100647190
187770,100645962
188125,100647226
188125,100647230
188529,100652075
188529,100647232
188802,100651830
188802,100651104
189506,100648598
189506,100649202
189522,100648557
189522,100650844
190259,100647627
190259,100648103
191130,100657870
191130,100658822
191300,100655399
191300,100655297
191511,100648389
191511,100658670
192728,100647243
192728,100645962
194522,100658399
194522,100658385
194581,100645322
194581,100645828
195239,100647517
195239,100650507
195602,100655565
195602,100649260
196474,100646080
196474,100645169
196733,100658012
196733,100647825
197008,100647243
197008,100646751
197668,100645962
197668,100646120
197676,100651467
197676,100658797
197984,100647226
197984,100647237
198011,100652621
198011,100655844
198827,100656099
198827,100656239
200305,100650596
200305,100647190
200404,100647563
200404,100647232
200412,100652817
200412,100652788
201147,100650633
201147,100646080
201210,100647659
201210,100651008
201482,100654109
201482,100653298
201922,100644911
201922,100644672
202371,100648634
202371,100648717
202708,100646778
202708,100646821
203769,100648279
203769,100654448
204813,100658670
204813,100656714
205378,100646947
205378,100645448
205428,100644706
205428,100643811
205938,100650498
205938,100645962
206720,100647230
206720,100647232
206867,100658175
206867,100654945
208743,100650633
208743,100650677
208777,100364971
208777,100390563
209646,100648634
209646,100646947
209701,100650094
209701,100651502
210065,100645322
210065,100645448
210516,100658670
210516,100654109
211047,100642630
211047,100642309
211113,100651397
211113,100651898
211168,100644052
211168,100637151
211204,100647232
211204,100647237
211457,100655170
211457,100655248
211501,100642684
211501,100586036
212706,100652121
212706,100651858
213202,100654109
213202,100658670
214112,100646080
214112,100647228
214367,100658670
214367,100651308
215078,100646080
215078,100658670
215418,100646337
215418,100646120
215708,100645933
215708,100645864
215958,100607280
215958,100650387
216102,100647662
216102,100647907
216580,100658670
216580,100648013
216807,100652121
216807,100654109
216972,100652799
216972,100645617
217677,100653093
217677,100651987
217916,100654109
217916,100652121
217999,100648225
217999,100654112
219361,100655565
219361,100651212
219481,100648634
219481,100651913
219626,100654455
219626,100651502
219925,100650992
219925,100650720
220296,100649064
220296,100649003
220586,100645483
220586,100645962
221220,100648634
221220,100648717
221988,100656714
221988,100649191
222705,100649924
222705,100647427
223805,100651502
223805,100654109
223865,100651337
223865,100658797
224271,100652121
224271,100652826
224938,100647232
224938,100647237
225394,100650552
225394,100658705
225577,100651803
225577,100652121
226093,100646463
226093,100646080
226152,100658670
226152,100658797
226870,100658372
226870,100648470
227271,100336753
227271,100563018
227929,100651344
227929,100654109
228123,100658670
228123,100655380
229172,100658670
229172,100654109
229195,100656714
229195,100654109
229297,100646080
229297,100645322
229679,100081544
229679,100572157
230316,100651913
230316,100658670
230344,100647226
230344,100647232
230913,100642596
230913,100642309
231018,100647226
231018,100647232
232317,100655367
232317,100650498
233487,100646609
233487,100651987
234684,100647226
234684,100651008
234841,100658670
234841,100654109
235197,100651913
235197,100658380
235453,100647060
235453,100648013
235551,100651126
235551,100650633
235571,100653275
235571,100653104
236664,100653104
236664,100652935
237278,100646080
237278,100649202
238226,100654109
238226,100658670
238907,100648013
238907,100647226
238920,100658670
238920,100651212
239754,100646947
239754,100647427
240139,100644937
240139,100645359
240686,100658670
240686,100646790
241046,100647587
241046,100652303
241546,100652426
241546,100650368
241707,100652624
241707,100652622
242723,100658012
242723,100656591
242955,100650720
242955,100650992
243034,100650156
243034,100650144
243299,100643210
243299,100650633
243492,100651308
243492,100653323
243945,100653327
243945,100648717
245820,100654186
245820,100649311
246343,100645359
246343,100645335
246438,100649202
246438,100646080
246717,100651308
246717,100651046
247038,100647232
247038,100647237
247282,100647517
247282,100647587
248325,100643277
248325,100637136
248520,100644648
248520,100644102
248831,100642618
248831,100642302
248895,100643512
248895,100643481
249047,100658670
249047,100649191
249141,100642618
249141,100642302
249153,100623624
249153,100581905
249383,100643267
249383,100643481
249843,100656530
249843,100656364
249944,100648593
249944,100651502
250265,100646879
250265,100654151
250407,100642311
250407,100642618
250414,100651048
250414,100650992
250882,100643210
250882,100633200
250938,100640878
250938,100640796
251029,100647712
251029,100633200
251119,100608852
251119,100614800
252274,100645310
252274,100645933
252344,100637175
252344,100637136
252401,100647087
252401,100651104
252606,100637151
252606,100647712
252643,100637136
252643,100634859
252949,100652470
252949,100656737
253135,100641301
253135,100641225
253518,100647745
253518,100637151
253710,100642311
253710,100642309
253781,100648802
253781,100647068
253938,100636824
253938,100610931
254104,100642505
254104,100642333
254239,100642128
254239,100641244
254308,100642988
254308,100642813
254395,100658670
254395,100650596
254526,100642603
254526,100647712
254604,100643210
254604,100642745
254695,100643811
254695,100643761
255281,100508380
255281,100508409
255823,100641308
255823,100640286
256027,100602695
256027,100636859
256105,100645310
256105,100644937
256117,100649202
256117,100655565
256183,100642630
256183,100642302
256201,100622106
256201,100605882
256567,100640865
256567,100640781
256629,100645366
256629,100644977
256791,100645322
256791,100645335
257615,100643203
257615,100642988
258296,100656037
258296,100655733
259666,100643915
259666,100643811
260533,100653853
260533,100654022
261284,100647226
261284,100653933
261382,100645303
261382,100628508
261453,100642630
261453,100642302
261648,100647235
261648,100647230
262001,100642301
262001,100641727
262112,100649260
262112,100648593
262132,100651276
262132,100651265
262383,100650742
262383,100651215
262477,100643277
262477,100642745
262634,100649569
262634,100651008
262750,100645933
262750,100645864
262794,100658670
262794,100646147
263208,100642603
263208,100642391
263371,100650633
263371,100653298
263766,100658670
263766,100658380
263959,100647672
263959,100652919
264295,100656737
264295,100658380
264516,100644937
264516,100644706
264653,100644648
264653,100643915
265010,100644911
265010,100644672
265064,100647627
265064,100654151
265287,100644911
265287,100645532
265674,100648013
265674,100649540
266088,100658670
266088,100658797
266144,100646080
266144,100658797
267175,100658670
267175,100647627
267533,100589409
267533,100509373
267620,100658670
267620,100651987
267857,100647627
267857,100645903
267939,100650488
267939,100651372
268298,100586036
268298,100641056
268459,100642106
268459,100642333
268572,100646337
268572,100646120
268749,100646080
268749,100645322
269135,100647627
269135,100654151
269166,100651247
269166,100651215
269352,100642309
269352,100642311
269735,100642309
269735,100642302
269990,100650633
269990,100654109
270113,100642716
270113,100643277
270733,100646080
270733,100642630
270747,100645828
270747,100646337
270860,100649503
270860,100650677
271374,100648634
271374,100648717
271407,100650220
271407,100650444
271424,100647232
271424,100647237
271540,100646790
271540,100645483
271666,100645322
271666,100654109
272114,100647594
272114,100645826
272585,100654109
272585,100651502
272916,100642988
272916,100642813
273264,100651182
273264,100637151
274344,100645322
274344,100646147
274378,100646120
274378,100645933
274395,100650633
274395,100654109
276327,100650633
276327,100654434
277210,100658670
277210,100649540
277213,100643789
277213,100643718
277683,100646947
277683,100647407
278173,100650633
278173,100646147
278326,100646120
278326,100642763
278551,100644937
278551,100645485
278905,100658670
278905,100658012
279504,100643481
279504,100643761
279563,100647232
279563,100647237
279778,100645546
279778,100645864
280076,100655046
280076,100655049
280898,100646080
280898,100645483
281087,100647243
281087,100646147
282550,100637136
282550,100646120
283200,100655599
283200,100658797
283777,100650156
283777,100650677
284377,100636724
284377,100636576
285086,100651344
285086,100650174
285396,100647235
285396,100658705
285875,100655565
285875,100658670
285928,100653757
285928,100647710
286297,100646147
286297,100651913
286526,100656714
286526,100651858
286621,100647228
286621,100647230
287964,100642302
287964,100642311
288102,100644937
288102,100645359
288589,100658670
288589,100651046
288984,100647228
288984,100647226
289080,100648634
289080,100648717
289109,100644102
289109,100643915
289982,100640195
289982,100649202
290197,100645322
290197,100586036
290689,100658670
290689,100651046
290709,100646483
290709,100646337
290800,100650633
290800,100651126
290979,100658670
290979,100651126
291151,100651913
291151,100652075
291443,100647226
291443,100647230
291843,100653327
291843,100653275
292050,100647228
292050,100647226
292261,100642618
292261,100642309
293066,100645306
293066,100647627
293429,100643915
293429,100644128
293666,100651182
293666,100644052
294027,100646080
294027,100645322
294234,100656714
294234,100651046
294604,100651126
294604,100633850
294787,100643210
294787,100642745
294959,100648886
294959,100656714
295289,100645322
295289,100645483
295622,100642609
295622,100642684
297046,100651182
297046,100640893
297078,100653597
297078,100658670
297478,100654109
297478,100653785
297528,100645864
297528,100646120
297837,100654109
297837,100653785
299923,100647672
299923,100652966
300324,100650156
300324,100650144
301104,100646770
301104,100650220
301192,100645322
301192,100646058
301557,100648634
301557,100648752
302091,100647190
302091,100658797
303414,100645335
303414,100651987
303693,100649540
303693,100658670
303796,100647243
303796,100646751
304683,100642106
304683,100641671
305324,100652121
305324,100651913
